Index;m_in;m_out;Direction;Surf_Dir;Surf_Dip;Type ;Structural ;F_Az;F_Dip;F_Quadramt;F_Pitch ;F_F;Q;Filling;Aperture_txt;Ap_min;F_Ap;Ap_max;Extent_Raw;Ext_min;Ext_max;Hmin;F_H;Hmax;Lmin;F_L;Lmax;Rock_Type;Comments;Outcrop Name;Out_Code;Outcrop Zone
398;50;51;N;130;45;fracture;N;91;87;;;F4;1;;;0;0;0;3;3;3;2.12;2.12;2.12;2.12;2.12;2.12;Limestone;;San Antonio T.;SAT;
399;51;53;N;130;45;joint ;N;94;85;S;;F4;10;;;0;0;0;[2-3];2;3;1.41;1.77;2.12;1.41;1.77;2.12;Limestone;;San Antonio T.;SAT;
400;51;53;N;130;45;fracture;N;359;60;E;;F5;3;white calcite;<mm to mm / PO;0.05;0.08;0.1;3;3;3;2.12;2.12;2.12;2.12;2.12;2.12;Limestone;;San Antonio T.;SAT;
401;52;54;N;130;45;joint;N;70;88;S;;F1;3;;;0;0;0;0.2;0.2;0.2;0.14;0.14;0.14;0.14;0.14;0.14;Limestone;;San Antonio T.;SAT;
402;52;54;N;130;45;fault;N;345;55;E;/56NE;F5;1;Breccia;mm-1.5cm;0.1;0.8;1.5;15;15;15;10.61;10.61;10.61;10.61;10.61;10.61;Limestone;;San Antonio T.;SAT;
403;52;54;N;130;45;fault N.;N;164;28;W;/264;F5;1;;;0;0;0;1;1;1;0.71;0.71;0.71;0.71;0.71;0.71;Limestone;Normal fault;San Antonio T.;SAT;
404;54;55;N;130;45;fault;N;1;20;E;/10NE;F5;1;breccia. white calcite;mm-1.5cm;0.1;0.8;1.5;[5-6];5;6;3.54;3.89;4.24;3.54;3.89;4.24;Limestone;;San Antonio T.;SAT;
405;54;55;N;130;45;fault;N;132;36;SW;/29W;F2;2;white calcite;;0;0;0;1;1;1;0.71;0.71;0.71;0.71;0.71;0.71;Limestone;;San Antonio T.;SAT;
406;54;55;N;130;45;fracture;N;240;85;N;;F1;2;brown calcite;;0;0;0;[3-4];3;4;2.12;2.47;2.83;2.12;2.47;2.83;Limestone;;San Antonio T.;SAT;
407;54;55;N;130;45;fracture;N;312;48;E;;F2;1;white calcite;;0;0;0;1;1;1;0.71;0.71;0.71;0.71;0.71;0.71;Limestone;;San Antonio T.;SAT;
408;55;56;N;150;45;fracture;N;195;60;W;;F3;2;;;0;0;0;3;3;3;2.12;2.12;2.12;2.12;2.12;2.12;Limestone;segmented;San Antonio T.;SAT;
409;55;56;N;150;45;fault LA;N;20;20;E;/20E;F3;1;white calcite;<0.5cm;0.05;0.28;0.5;6;6;6;4.24;4.24;4.24;4.24;4.24;4.24;Limestone;Low Angle;San Antonio T.;SAT;
410;55;56;N;150;45;fracture;N;130;85;SW;;F2;1;;;0;0;0;0.5;0.5;0.5;0.35;0.35;0.35;0.35;0.35;0.35;Limestone;;San Antonio T.;SAT;
411;55;56;N;150;45;fracture;N;50;80;S;;F1;4;brown calcite;<0.5cm / PO;0.05;0.28;0.5;10;10;10;7.07;7.07;7.07;7.07;7.07;7.07;Limestone;;San Antonio T.;SAT;
412;55;56;N;150;45;fault;N;172;28;W;/34W;F5;1;white calcite;1-2mm;0.1;0.15;0.2;[1-2];1;2;0.71;1.06;1.41;0.71;1.06;1.41;Limestone;;San Antonio T.;SAT;
413;55;56;N;150;45;joint;N;40;88;;;F3;4;;;0;0;0;0.2;0.2;0.2;0.14;0.14;0.14;0.14;0.14;0.14;Limestone;;San Antonio T.;SAT;
414;55;56;N;150;45;fault;N;132;80;W;/78SW;F2;3;white calcite;;0;0;0;0.5;0.5;0.5;0.35;0.35;0.35;0.35;0.35;0.35;Limestone;;San Antonio T.;SAT;
415;56;57;N;150;45;fracture;N;60;75;SE;;F1;8;brown calcite;<mm / PO;0.05;0.08;0.1;20;20;20;14.14;14.14;14.14;14.14;14.14;14.14;Limestone;;San Antonio T.;SAT;
416;57;58;N;150;45;fracture;N;32;80;SE;;F3;2;brown calcite;;0;0;0;10;10;10;7.07;7.07;7.07;7.07;7.07;7.07;Limestone;;San Antonio T.;SAT;
417;57;58;N;150;45;fracture;N;330;50;NE;;F5;5;white calcite;mm;0.1;0.3;0.5;5;5;5;3.54;3.54;3.54;3.54;3.54;3.54;Limestone;;San Antonio T.;SAT;
418;58;59;N;150;45;fracture;N;60;88;SE;;F1;7;;;0;0;0;>10;10;25;7.07;12.37;17.68;7.07;12.37;17.68;Limestone;;San Antonio T.;SAT;
419;58;59;N;150;45;vein;N;360;40;E;;F5;3;brown calcite;[0.5-2]mm;0.05;0.13;0.2;4;4;4;2.83;2.83;2.83;2.83;2.83;2.83;Limestone;;San Antonio T.;SAT;
420;59;60;N;150;45;Bedding?;N;182;48;W;;F5;1;;;0;0;0;5;5;5;3.54;3.54;3.54;3.54;3.54;3.54;Limestone;;San Antonio T.;SAT;
421;59;60;N;150;45;fracture;N;25;55;E;;F3;3;;OF;0.1;0.1;0.1;>10;10;25;7.07;12.37;17.68;7.07;12.37;17.68;Limestone;;San Antonio T.;SAT;
422;59;60;N;150;45;fracture;N;60;58;SE;;F1;3;brown calcite;;0;0;0;10;10;10;7.07;7.07;7.07;7.07;7.07;7.07;Limestone;;San Antonio T.;SAT;
423;60;61;N;150;43;fracture;N;310;60;NE;;F2;8;white calcite;<mm;0.05;0.05;0.05;[2-3];2;3;1.36;1.7;2.05;1.46;1.83;2.19;Limestone;;San Antonio T.;SAT;
424;60;61;N;150;43;fracture;N;54;60;S;;F1;3;;;0;0;0;0.5;0.5;0.5;0.34;0.34;0.34;0.37;0.37;0.37;Limestone;;San Antonio T.;SAT;
425;61;62;N;150;43;fracture;N;210;82;W;;F3;5;;;0;0;0;0.5;0.5;0.5;0.34;0.34;0.34;0.37;0.37;0.37;Limestone;;San Antonio T.;SAT;
426;61;62;N;150;43;fracture;N;240;80;SW;;F1;5;black filling & brown calcite;;0;0;0;[0.5-10];0.5;10;0.34;3.58;6.82;0.37;3.84;7.31;Limestone;;San Antonio T.;SAT;
427;61;62;N;150;43;fracture;N;330;45;NE;;F5;6;white calcite;PO;0.05;0.08;0.1;[3-4];3;4;2.05;2.39;2.73;2.19;2.56;2.93;Limestone;;San Antonio T.;SAT;
428;62;63;N;165;43;fracture;N;75;80;SE;;F1;5;brown calcite;<mm;0.05;0.05;0.05;10;10;10;6.82;6.82;6.82;7.31;7.31;7.31;Limestone;fracture zone;San Antonio T.;SAT;
429;62;63;N;165;43;fault;N;177;70;W;/25S;F5;2;;;0;0;0;2;2;2;1.36;1.36;1.36;1.46;1.46;1.46;Limestone;fracture zone;San Antonio T.;SAT;
430;63;64;N;165;43;fracture;N;300;72;NE;;F2;7;;<mm;0.05;0.05;0.05;[0.3-0.4];0.3;0.4;0.2;0.24;0.27;0.22;0.26;0.29;Limestone;fracture zone;San Antonio T.;SAT;
431;63;64;N;165;43;fracture;N;50;70;SE;;F1;3;;<mm;0.05;0.05;0.05;[3-4];3;4;2.05;2.39;2.73;2.19;2.56;2.93;Limestone;fracture zone;San Antonio T.;SAT;
432;65;66;N;165;43;fault;N;40;80;SE;;F3;9;brown calcite;;0;0;0;50;50;50;34.1;34.1;34.1;36.57;36.57;36.57;Limestone;;San Antonio T.;SAT;
433;65;66;N;165;43;Bedding?;N;165;30;W;;F5;3;white calcite;;0;0;0;50;50;50;34.1;34.1;34.1;36.57;36.57;36.57;Limestone;;San Antonio T.;SAT;
434;65;66;N;165;43;fault;N;130;81;SW;;F2;3;white calcite;<mm;0.05;0.05;0.05;[4-5];4;5;2.73;3.07;3.41;2.93;3.29;3.66;Limestone;dip slip fault;San Antonio T.;SAT;
435;66;67;N;165;43;fracture;N;225;84;W;;F1;4;brown calcite;;0;0;0;10;10;10;6.82;6.82;6.82;7.31;7.31;7.31;Limestone;;San Antonio T.;SAT;
436;66;67;N;165;43;vein;N;38;55;SE;;F3;6;white calcite;[1-4]mm;0.1;0.25;0.4;1;1;1;0.68;0.68;0.68;0.73;0.73;0.73;Limestone;;San Antonio T.;SAT;
437;67;68;N;165;43;fracture;N;80;89;SE;;F7;3;brown calcite;mm;0.1;0.3;0.5;[10-40];10;40;6.82;17.05;27.28;7.31;18.28;29.25;Limestone;;San Antonio T.;SAT;
438;67;68;N;165;43;fracture;N;60;85;SE;;F1;4;brown calcite;mm;0.1;0.3;0.5;[10-40];10;40;6.82;17.05;27.28;7.31;18.28;29.25;Limestone;;San Antonio T.;SAT;
439;68;69;N;165;43;karst/fracture;N;82;88;S;;F7;8;dark grey calcite;<2cm;0.1;1.05;2;50;50;50;34.1;34.1;34.1;36.57;36.57;36.57;Limestone;;San Antonio T.;SAT;
440;68;69;N;165;43;fracture;N;360;50;E;;F5;2;white calcite;<1cm;0.1;0.55;1;5;5;5;3.41;3.41;3.41;3.66;3.66;3.66;Limestone;;San Antonio T.;SAT;
441;69;70;N;165;43;Bedding?;N;182;56;W;;F5;1;;;0;0;0;50;50;50;34.1;34.1;34.1;36.57;36.57;36.57;Limestone;worm surface;San Antonio T.;SAT;
442;69;70;N;165;43;fault;N;305;15;/8E;;F2;2;white calcite;[1-2]mm;0.1;0.15;0.2;[2-3];2;3;1.36;1.7;2.05;1.46;1.83;2.19;Limestone;;San Antonio T.;SAT;
443;69;70;N;165;43;joint;N;75;75;SE;;F1;6;;;0;0;0;0.2;0.2;0.2;0.14;0.14;0.14;0.15;0.15;0.15;Limestone;;San Antonio T.;SAT;
444;70;71;N;170;53;fracture;N;70;69;SE;;F1;6;brown calcite;[1-2]mm;0.1;0.15;0.2;50;50;50;39.93;39.93;39.93;30.09;30.09;30.09;Limestone;;San Antonio T.;SAT;
445;70;71;N;170;53;Bedding?;N;140;56;SE;;F2;1;brown calcite;;0;0;0;50;50;50;39.93;39.93;39.93;30.09;30.09;30.09;Limestone;;San Antonio T.;SAT;
446;70;71;N;170;53;fracture;N;44;55;SE;;F1;5;brown calcite;<mm;0.05;0.05;0.05;0.5;0.5;0.5;0.4;0.4;0.4;0.3;0.3;0.3;Limestone;;San Antonio T.;SAT;
447;71;72;N;170;53;fracture;N;70;85;SE;;F1;6;brown calcite;<mm;0.05;0.05;0.05;>10;10;25;7.99;13.98;19.97;6.02;10.53;15.05;Limestone;;San Antonio T.;SAT;
448;71;72;N;170;53;Bedding?;N;190;44;W;;F3;1;brown calcite;;0;0;0;50;50;50;39.93;39.93;39.93;30.09;30.09;30.09;Limestone;fold;San Antonio T.;SAT;
449;71;72;N;170;53;Bedding?;N;154;75;W;;F5;1;brown calcite;;0;0;0;>10;10;25;7.99;13.98;19.97;6.02;10.53;15.05;Limestone;fold;San Antonio T.;SAT;
450;72;73;N;190;53;fault R.;N;220;70;NW;/28NE;F3;2;white br. Calc.;<0.5cm;0.1;0.3;0.5;[1-2];1;2;0.8;1.2;1.6;0.6;0.9;1.2;Limestone;reverse fault?;San Antonio T.;SAT;
451;72;73;N;190;53;fracture;N;72;85;SE;;F1;5;brown calcite;;0;0;0;50;50;50;39.93;39.93;39.93;30.09;30.09;30.09;Limestone;;San Antonio T.;SAT;
452;73;74;N;190;53;fracture;N;70;80;SE;;F1;5;brown calcite;;0;0;0;50;50;50;39.93;39.93;39.93;30.09;30.09;30.09;Limestone;;San Antonio T.;SAT;
453;73;74;N;190;53;joint;N;40;70;SE;;F3;4;;;0;0;0;[0.4-0.5];0.4;0.5;0.32;0.36;0.4;0.24;0.27;0.3;Limestone;;San Antonio T.;SAT;
454;74;75;N;190;53;fracture;N;260;85;N;;F7;4;brown calcite;;0;0;0;>10;10;25;7.99;13.98;19.97;6.02;10.53;15.05;Limestone;;San Antonio T.;SAT;
455;74;75;N;190;53;fracture;N;333;40;NE;;F5;8;white br. Calc.;;0;0;0;[3-4];3;4;2.4;2.8;3.19;1.81;2.11;2.41;Limestone;;San Antonio T.;SAT;
456;75;76;N;140;53;fault;N;232;80;NW;25NE;F1;15;karst / white br. Calc.;;0;0;0;50;50;50;39.93;39.93;39.93;30.09;30.09;30.09;Limestone;;San Antonio T.;SAT;
457;75;76;N;140;53;fracture;N;329;35;NE;;F5;7;white calcite;;0;0;0;[2-3];2;3;1.6;2;2.4;1.2;1.5;1.81;Limestone;;San Antonio T.;SAT;
458;75;76;N;140;53;fracture;N;89;89;S;;F7;6;brown calcite;<mm;0.05;0.05;0.05;0.3;0.3;0.3;0.24;0.24;0.24;0.18;0.18;0.18;Limestone;;San Antonio T.;SAT;
459;76;77;N;110;53;fracture;N;68;88;S;;F1;10;brown calcite;<1cm;0.1;0.55;1;50;50;50;39.93;39.93;39.93;30.09;30.09;30.09;Limestone;;San Antonio T.;SAT;
460;76;77;N;110;53;fracture;N;10;55;E;;F3;5;white calcite;<mm;0.05;0.05;0.05;[1-2];1;2;0.8;1.2;1.6;0.6;0.9;1.2;Limestone;;San Antonio T.;SAT;
461;76;77;N;110;53;Bedding?;N;179;50;W;;F5;1;brown calcite;;0;0;0;>50;50;65;39.93;45.92;51.91;30.09;34.6;39.12;Limestone;;San Antonio T.;SAT;
462;77;78;N;110;53;fracture;N;60;85;SE;;F1;4;brown calcite;<1cm;0.1;0.55;1;>50;50;65;39.93;45.92;51.91;30.09;34.6;39.12;Limestone;;San Antonio T.;SAT;
463;77;78;N;110;53;fracture;N;70;85;SE;;F1;4;karstic dark grey calcite;<1cm;0.1;0.55;1;>50;50;65;39.93;45.92;51.91;30.09;34.6;39.12;Limestone;;San Antonio T.;SAT;
464;77;78;N;110;53;fault;N;345;38;W;/15NW;F5;6;white calcite;<mm;0.05;0.05;0.05;2;2;2;1.6;1.6;1.6;1.2;1.2;1.2;Limestone;;San Antonio T.;SAT;
465;78;79;N;120;53;fracture;N;260;70;N;;F7;5;karst brown calcite;<1cm;0.1;0.55;1;6;6;6;4.79;4.79;4.79;3.61;3.61;3.61;Limestone;;San Antonio T.;SAT;
466;78;79;N;120;53;fracture;N;70;85;SE;;F1;5;brown calcite;<mm;0.05;0.05;0.05;[10-50];10;50;7.99;23.96;39.93;6.02;18.05;30.09;Limestone;;San Antonio T.;SAT;
467;78;79;N;120;53;fracture;N;358;44;E;;F5;12;;PO;0.05;0.08;0.1;[1-3];1;3;0.8;1.6;2.4;0.6;1.2;1.81;Limestone;;San Antonio T.;SAT;
468;79;80;N;120;53;fracture;N;54;88;SE;;F1;9;karst brown calcite;<1cm;0.1;0.55;1;[10-50];10;50;7.99;23.96;39.93;6.02;18.05;30.09;Limestone;;San Antonio T.;SAT;
469;79;80;N;120;53;fracture;N;328;40;E;;F5;8;white calcite;<1mm;0.05;0.08;0.1;[1-3];1;3;0.8;1.6;2.4;0.6;1.2;1.81;Limestone;;San Antonio T.;SAT;
470;79;80;N;120;53;Bedding?;N;158;52;W;;F5;6;;;0;0;0;[10-50];10;50;7.99;23.96;39.93;6.02;18.05;30.09;Limestone;;San Antonio T.;SAT;
471;80;81;N;105;40;fault;N;24;20;SE;/15NE;F3;2;white calcite;<3mm;0.05;0.18;0.3;1;1;1;0.64;0.64;0.64;0.77;0.77;0.77;Limestone;;San Antonio T.;SAT;
472;80;81;N;105;40;fracture;N;80;70;S;;F7;4;;;0;0;0;[1-2];;2;0;0.64;1.29;0;0.77;1.53;Limestone;;San Antonio T.;SAT;
473;80;81;N;105;40;fracture;N;2;40;E;;F5;2;white calcite;;0;0;0;0.5;0.5;0.5;0.32;0.32;0.32;0.38;0.38;0.38;Limestone;;San Antonio T.;SAT;
474;80;81;N;105;40;fracture;N;60;80;SE;;F1;4;;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
475;81;83;N;105;40;Bedding?;N;158;25;W;;F5;6;;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
476;81;83;N;105;40;fracture;N;60;88;SE;;F1;6;brown calcite;<mm;0.05;0.05;0.05;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
477;81;83;N;105;40;fracture;N;98;80;S;;F4;4;brown calcite;;0;0;0;1;1;1;0.64;0.64;0.64;0.77;0.77;0.77;Limestone;discreet;San Antonio T.;SAT;
478;83;85;N;105;40;Bedding?;N;170;44;W;;F5;3;brown calcite;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
479;83;85;N;105;40;fault;N;32;18;E;;F3;3;white br. Calc.;;0;0;0;[1-10];1;10;0.64;3.54;6.43;0.77;4.21;7.66;Limestone;;San Antonio T.;SAT;
480;83;85;N;105;40;fault;N;43;50;E;/22ENE;F1;4;white calcite;<1.5mm;0.05;0.1;0.15;[1-10];1;10;0.64;3.54;6.43;0.77;4.21;7.66;Limestone;;San Antonio T.;SAT;
481;83;85;N;105;40;fracture;N;52;85;E;;F1;5;very thin calcite;;0.05;0.1;0.15;>10;10;25;6.43;11.25;16.07;7.66;13.41;19.15;Limestone;;San Antonio T.;SAT;
482;85;86;N;105;40;fault;N;30;49;SE;;F3;6;white calcite;<1.5mm;0.05;0.1;0.15;[1-10];1;10;0.64;3.54;6.43;0.77;4.21;7.66;Limestone;;San Antonio T.;SAT;
483;85;86;N;105;40;fault;N;93;70;S;/50SE;F4;3;white calcite;<1.5mm;0.05;0.1;0.15;[5-10];5;10;3.21;4.82;6.43;3.83;5.75;7.66;Limestone;normal;San Antonio T.;SAT;
484;85;86;N;105;40;fault;N;90;85;S;;F4;2;white calcite;<1.5mm;0.05;0.1;0.15;[5-10];5;10;3.21;4.82;6.43;3.83;5.75;7.66;Limestone;Major event;San Antonio T.;SAT;
485;86;87;N;105;40;fracture;N;260;70;NW;;F7;6;brown calcite;<1cm;0.1;0.55;1;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
486;86;87;N;105;40;Bedding?;N;168;60;W;;F5;6;;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
487;87;88;N;105;40;fracture;N;240;85;W;;F1;7;brown calcite;<2cm;0.1;1.05;2;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
488;87;88;N;105;40;Bedding?;N;168;52;W;;F5;1;;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
489;87;88;N;105;40;fracture;N;20;42;E;;F3;4;;;0;0;0;[1-2];1;2;0.64;0.96;1.29;0.77;1.15;1.53;Limestone;;San Antonio T.;SAT;
490;88;89;N;130;40;fracture;N;240;85;N;;F1;4;brown calcite;;0;0;0;10;10;10;6.43;6.43;6.43;7.66;7.66;7.66;Limestone;;San Antonio T.;SAT;
491;88;89;N;130;40;Bedding?;N;170;48;W;;F5;4;white br. Calc.;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
492;89;90;N;130;40;fracture;N;100;86;S;;F4;3;brown calcite;<mm;0.05;0.05;0.05;[10-20];10;20;6.43;9.64;12.86;7.66;11.49;15.32;Limestone;;San Antonio T.;SAT;
493;89;90;N;130;40;fracture;N;70;85;S;;F1;2;brown calcite;<mm;0.05;0.05;0.05;[10-20];10;20;6.43;9.64;12.86;7.66;11.49;15.32;Limestone;;San Antonio T.;SAT;
494;89;90;N;130;40;Bedding?;N;169;55;W;;F5;3;brown calcite;<1cm;0.1;0.55;1;[10-50];10;20;6.43;9.64;12.86;7.66;11.49;15.32;Limestone;;San Antonio T.;SAT;
495;89;90;N;130;40;joint;N;340;60;NE;;F5;6;white calcite;<mm;0.05;0.05;0.05;[1-2];1;2;0.64;0.96;1.29;0.77;1.15;1.53;Limestone;;San Antonio T.;SAT;
496;90;91;N;130;40;fracture;N;78;88;S;;F7;4;brown calcite;;0;0;0;0.4;0.4;0.4;0.26;0.26;0.26;0.31;0.31;0.31;Limestone;;San Antonio T.;SAT;
497;90;91;N;130;40;Bedding?;N;180;74;W;;F5;11;brown calcite;<2mm;0.05;0.13;0.2;1;1;1;0.64;0.64;0.64;0.77;0.77;0.77;Limestone;;San Antonio T.;SAT;
498;90;91;N;130;40;joint;N;340;40;NE;;F5;4;white calcite;<mm;0.05;0.05;0.05;10;10;10;6.43;6.43;6.43;7.66;7.66;7.66;Limestone;;San Antonio T.;SAT;
499;91;92;N;140;40;fracture;N;250;75;S;;F1;4;brown calcite;<1cm;0.1;0.55;1;10;10;10;6.43;6.43;6.43;7.66;7.66;7.66;Limestone;;San Antonio T.;SAT;
500;91;92;N;140;40;fracture;N;335;50;NE;;F5;6;white calcite;<2mm;0.05;0.13;0.2;[2-5];2;5;1.29;2.25;3.21;1.53;2.68;3.83;Limestone;;San Antonio T.;SAT;
501;92;93;N;140;40;joint;N;78;84;S;;F7;4;brown calcite;;0;0;0;[1-2];1;2;0.64;0.96;1.29;0.77;1.15;1.53;Limestone;;San Antonio T.;SAT;
502;92;93;N;140;40;fracture;N;320;35;NE;;F2;3;white br. Calc.;<1cm;0.1;0.55;1;1;1;1;0.64;0.64;0.64;0.77;0.77;0.77;Limestone;;San Antonio T.;SAT;
503;93;94;N;140;40;fracture;N;220;70;NW;;F3;5;karst brown calcite;<2cm;0.1;1.05;2;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;fracture - karst;San Antonio T.;SAT;
504;93;94;N;140;40;fracture;N;348;45;NE;;F5;4;karst;<1cm;0.1;0.55;1;[3-5];3;5;1.93;2.57;3.21;2.3;3.06;3.83;Limestone;fracture - karst;San Antonio T.;SAT;
505;94;95;N;140;40;fracture;N;240;70;NE;;F1;5;karst;<1cm;0.1;0.55;1;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;fracture - karst;San Antonio T.;SAT;
506;94;95;N;140;40;Bedding?;N;125;58;SW;;F2;2;brown calcite;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
507;94;95;N;140;40;fracture;N;340;50;NE;;F5;6;white calcite;;0;0;0;[3-5];3;5;1.93;2.57;3.21;2.3;3.06;3.83;Limestone;;San Antonio T.;SAT;
508;95;96;N;140;40;fracture;N;64;80;SE;;F1;10;brown calcite;<2cm;0.1;1.05;2;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
509;95;96;N;140;40;fracture;N;350;50;NE;;F5;4;white calcite;;0;0;0;[3-5];3;5;1.93;2.57;3.21;2.3;3.06;3.83;Limestone;;San Antonio T.;SAT;
510;96;97;N;140;40;fracture;N;72;85;SE;;F1;9;karst brown calcite;<1cm;0.1;0.55;1;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
511;97;98;N;140;40;fracture;N;50;88;SE;;F1;7;brown calcite;<1cm;0.1;0.55;1;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
512;97;98;N;140;40;fracture;N;360;35;W;;F5;3;white calcite;<2mm;0.05;0.13;0.2;0.5;0.5;0.5;0.32;0.32;0.32;0.38;0.38;0.38;Limestone;;San Antonio T.;SAT;
513;98;99;N;140;40;fracture;N;174;65;W;;F5;4;brown calcite;;0;0;0;[2-10];2;10;1.29;3.86;6.43;1.53;4.6;7.66;Limestone;;San Antonio T.;SAT;
514;98;99;N;140;40;fracture;N;60;80;SE;;F1;4;brown calcite;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
515;98;99;N;140;40;fracture;N;154;60;W;;F5;11;;;0;0;0;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
516;99;100;N;60;40;fracture;N;80;78;S;;F7;10;brown calcite;<1cm;0.1;0.55;1;[10-50];10;50;6.43;19.28;32.14;7.66;22.98;38.3;Limestone;;San Antonio T.;SAT;
