Index;m_in;m_out;Direction;Surf_Dir;Surf_Dip;Type ;Structural ;F_Az;F_Dip;F_Quadramt;F_Pitch ;F_F;Q;Filling;Aperture_txt;Ap_min;F_Ap;Ap_max;Extent_Raw;Ext_min;Ext_max;Hmin;F_H;Hmax;Lmin;F_L;Lmax;Rock_Type;Comments;Outcrop Name;Out_Code;Outcrop Zone
517;99;100;N;60;40;fracture;N;330;60;NE;;F5;5;white calcite;;0;0;0;[2-3];2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;;San Antonio T.;SAT;
518;100;101;N;80;40;fracture;N;84;74;S;;F7;2;Calcite;<1cm;0.1;0.55;1;[2-3];2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;upper part covered;San Antonio T.;SAT;
519;100;101;N;80;40;fracture;N;75;74;S;;F1;2;Calcite;<1cm;0.1;0.55;1;[2-3];2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;upper part covered;San Antonio T.;SAT;
520;101;102;N;80;40;fracture;N;84;74;S;;F7;4;Calcite;<1cm;0.1;0.55;1;[2-3];2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;upper part covered;San Antonio T.;SAT;
521;101;102;N;80;40;fracture;N;75;74;S;;F1;3;Calcite;<1cm;0.1;0.55;1;[2-3];2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;upper part covered;San Antonio T.;SAT;
522;102;103;N;80;40;fracture;N;326;26;NE;;F5;2;Calcite;<1mm;0.05;0.08;0.1;1;1;1;0.64;0.64;0.64;0.77;0.77;0.77;Limestone;brownish;San Antonio T.;SAT;
523;102;103;N;80;40;fracture;N;84;74;S;;F7;1;Calcite;<1cm;0.1;0.55;1;[2-3];2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;brownish;San Antonio T.;SAT;
524;103;104;N;47;40;fracture;N;96;70;S;;F4;2;Calcite;<1cm;0.1;0.55;1;2;2;2;1.29;1.29;1.29;1.53;1.53;1.53;Limestone;brownish;San Antonio T.;SAT;
525;103;104;N;47;40;fracture;N;149;65;S;;F5;1;Calcite;1mm;0.1;0.1;0.1;1;1;1;0.64;0.64;0.64;0.77;0.77;0.77;Limestone;brownish;San Antonio T.;SAT;
526;104;105;N;100;40;fracture;N;149;65;SW;;F5;7;Calcite;1-3 cm;1;2;3;2-3m;2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;;San Antonio T.;SAT;
527;105;106;N;100;40;fracture;N;157;72;W;;F5;5;calcite;1mm;0.1;0.1;0.1;2-3m;2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;;San Antonio T.;SAT;
528;106;107;N;100;40;fracture;N;191;48;W;;F3;6;calcite;1-2cm;1;1.5;2;2m;2;2;1.29;1.29;1.29;1.53;1.53;1.53;Limestone;brownish;San Antonio T.;SAT;
529;107;108;N;125;40;fracture;N;160;63;W;;F5;4;calcite;>1cm;1;1.5;2;2-3m;2;3;1.29;1.61;1.93;1.53;1.92;2.3;Limestone;some brownish;San Antonio T.;SAT;
530;108;109;N;125;40;fracture;N;170;52;W;;F5;6;calcite;1-3cm;1;2;3;5m;5;5;3.21;3.21;3.21;3.83;3.83;3.83;Limestone;;San Antonio T.;SAT;
531;109;110;N;80;40;fracture;N;355;32;E;;F5;2;calcite;1mm;0.1;0.1;0.1;20cm;0.2;0.2;0.13;0.13;0.13;0.15;0.15;0.15;Limestone;;San Antonio T.;SAT;
532;109;110;N;80;40;fracture;N;163;63;W;;F5;2;calcite; 1-3cm;1;2;3;5m;5;5;3.21;3.21;3.21;3.83;3.83;3.83;Limestone;;San Antonio T.;SAT;
533;110;111;N;100;45;fracture;N;114;60;NW;;F4;5;calcite;1-2cm;1;1.5;2;2m;2;2;1.41;1.41;1.41;1.41;1.41;1.41;Limestone;;San Antonio T.;SAT;
534;110;111;N;100;45;fracture;N;36;37;E;;F3;2;calcite;1mm;0.1;0.1;0.1;1m;1;1;0.71;0.71;0.71;0.71;0.71;0.71;Limestone;;San Antonio T.;SAT;
535;111;112;N;100;45;fracture;N;54;55;SE;;F1;4;calcite;1-3cm;1;2;3;2m;2;2;1.41;1.41;1.41;1.41;1.41;1.41;Limestone;;San Antonio T.;SAT;
536;112;113;N;160;45;fracture;N;68;52;S;;F1;2;calcite;1-5 cm;1;3;5;2m;2;2;1.41;1.41;1.41;1.41;1.41;1.41;Limestone;;San Antonio T.;SAT;
537;113;114;N;115;45;fracture;N;210;73;NW;;F3;2;calcite;1mm-3cm;0.1;1.55;3;5m;5;5;3.54;3.54;3.54;3.54;3.54;3.54;Limestone;;San Antonio T.;SAT;
538;114;115;N;135;45;fracture;N;166;88;W;;F5;2;calcite;1-3 mm;0.1;1.55;3;2m;2;2;1.41;1.41;1.41;1.41;1.41;1.41;Limestone;;San Antonio T.;SAT;
539;115;116;N;135;45;fracture;N;189;74;W;;F5;3;calcite;5 cm;5;5;5;1-2m;1;2;0.71;1.06;1.41;0.71;1.06;1.41;Limestone;;San Antonio T.;SAT;
540;116;117;N;170;45;fracture;N;112;47;NW;;F4;2;calcite;1-3cm ;1;2;3;1m;1;1;0.71;0.71;0.71;0.71;0.71;0.71;Limestone;;San Antonio T.;SAT;
541;116;117;N;170;45;;N;65;73;E;;F1;2;calcite;1-5cm;1;3;5;6m;6;6;4.24;4.24;4.24;4.24;4.24;4.24;Limestone;;San Antonio T.;SAT;
542;117;118;N;170;45;fracture;N;247;86;NW;;F1;1;calcite;1-5cm;1;3;5;6m;6;6;4.24;4.24;4.24;4.24;4.24;4.24;Limestone;;San Antonio T.;SAT;
543;118;119;N;80;45;fracture;N;179;72;W;;F5;2;calcite;<1cm;0.1;0.55;1;3-5m;3;5;2.12;2.83;3.54;2.12;2.83;3.54;Limestone;;San Antonio T.;SAT;
544;119;120;N;80;45;fracture;N;179;72;W;;F5;2;calcite;<1cm;0.1;0.55;1;3-5m;3;5;2.12;2.83;3.54;2.12;2.83;3.54;Limestone;;San Antonio T.;SAT;
545;120;121;N;80;55;fracture;N;179;72;W;;F5;2;calcite;1-3cm;1;2;3;3m;3;3;2.46;2.46;2.46;1.72;1.72;1.72;Limestone;;San Antonio T.;SAT;
546;121;122;N;135;55;fracture;N;13;90;W;;F3;3;calcite;1-3cm;1;2;3;8m;8;8;6.55;6.55;6.55;4.59;4.59;4.59;Limestone;;San Antonio T.;SAT;
547;121;122;N;135;55;fracture;N;155;75;SW;;F5;1;calcite;1-3cm;1;2;3;3m;3;3;2.46;2.46;2.46;1.72;1.72;1.72;Limestone;;San Antonio T.;SAT;
548;122;123;N;135;55;fracture;N;208;82;NW;;F3;3;calcite;1-8cm;1;4.5;8;10m;10;10;8.19;8.19;8.19;5.74;5.74;5.74;Limestone;Fault zone;San Antonio T.;SAT;
549;122;123;N;135;55;fracture;N;60;17;SE;;F1;2;calcite;1-5cm;1;3;5;5m;5;5;4.1;4.1;4.1;2.87;2.87;2.87;Limestone;;San Antonio T.;SAT;
550;123;124;N;160;55;fracture;N;16;32;E;;F3;4;calcite;1-5cm;1;3;5;2m;2;2;1.64;1.64;1.64;1.15;1.15;1.15;Limestone;Fault zone;San Antonio T.;SAT;
551;124;125;N;160;55;fracture;N;215;79;NW;;F3;5;calcite;"1-5cm; ";1;3;5;"1-2m; ";1;2;0.82;1.23;1.64;0.57;0.86;1.15;Limestone;fault zone. brownish alteration;San Antonio T.;SAT;
552;124;125;N;160;55;fracture;N;210;88;NW;;F3;5;calcite;1-3cm;1;2;3;10m;10;10;8.19;8.19;8.19;5.74;5.74;5.74;Limestone;fault zone. brownish alteration;San Antonio T.;SAT;
553;125;126;N;160;55;fracture/fault;N;161;79;N;;F5;5;calcite;1-3cm;1;2;3;5m;5;5;4.1;4.1;4.1;2.87;2.87;2.87;Limestone;fault zone. brownish alteration;San Antonio T.;SAT;
554;125;126;N;160;55;fracture/fault;N;113;85;NW;;F4;1;calcite;1-3cm;1;2;3;5m;5;5;4.1;4.1;4.1;2.87;2.87;2.87;Limestone;fault zone. brownish alteration;San Antonio T.;SAT;
555;126;127;N;160;55;fracture;N;73;83;S;;F1;1;calcite;1-3mm;0.1;0.2;0.3;1m;1;1;0.82;0.82;0.82;0.57;0.57;0.57;Limestone;fault zone. brownish alteration;San Antonio T.;SAT;
556;127;128;N;160;55;fracture;N;115;79;N;;F4;1;calcite;1-5cm;1;3;5;[5-10]m;5;10;4.1;6.14;8.19;2.87;4.3;5.74;Limestone;within fault zone (30 m fractured zone);San Antonio T.;SAT;
557;128;129;N;153;55;fracture or bedding;N;162;7;W;;F5;1;calcite;1-5cm;1;3;5;"10m; ";10;10;8.19;8.19;8.19;5.74;5.74;5.74;Limestone;;San Antonio T.;SAT;
558;128;129;N;153;55;fracture or bedding;N;85;3;SW;;F6;1;calcite;5cm;5;5;5;3-5m;3;5;2.46;3.28;4.1;1.72;2.29;2.87;Limestone;;San Antonio T.;SAT;
559;129;130;N;153;55;fracture;N;154;66;N;;F5;1;open;1-5cm ;1;3;5;10m;10;10;8.19;8.19;8.19;5.74;5.74;5.74;Limestone;;San Antonio T.;SAT;
560;129;130;N;153;55;;;50;37;SW;;F1;1;open;5cm;5;5;5; 3-5m;3;5;2.46;3.28;4.1;1.72;2.29;2.87;Limestone;;San Antonio T.;SAT;
561;130;131;N;153;63;fracture;N;144;89;NW;;F2;2;open;>1cm;1;1.5;2;2m;2;2;1.78;1.78;1.78;0.91;0.91;0.91;Limestone;brownish;San Antonio T.;SAT;
562;131;132;N;153;63;fault;N;198;63;W;;F3;6;open;1-3cm;1;2;3;1-8m;1;8;0.89;4.01;7.13;0.45;2.04;3.63;Limestone;Fault and brownish;San Antonio T.;SAT;
563;132;133;N;153;63;fault;N;89;73;S;;F7;7;open;1mm-5cm;0.1;2.55;5;5m;5;5;4.46;4.46;4.46;2.27;2.27;2.27;Limestone;;San Antonio T.;SAT;
564;133;134;N;153;63;fault;N;198;50;W;;F3;7;open;1-3cm;1;2;3;3m;3;3;2.67;2.67;2.67;1.36;1.36;1.36;Limestone;Brwonish;San Antonio T.;SAT;
565;134;135;N;150;63;fault;N;7;77;E;;F5;10;open;1-5cm;1;3;5;<2m;0.5;2;0.45;1.11;1.78;0.23;0.57;0.91;Limestone;Fault zone;San Antonio T.;SAT;
566;135;136;N;150;63;fracture or bedding;N;45;82;S;;F1;5;open;1mm;0.1;0.1;0.1;2-3m;2;3;1.78;2.23;2.67;0.91;1.13;1.36;Limestone;Fault zone;San Antonio T.;SAT;
567;135;136;N;150;63;fracture or bedding;N;70;27;S;;F1;3;open;3cm;3;3;3;2-3m;2;3;1.78;2.23;2.67;0.91;1.13;1.36;Limestone;Fault zone;San Antonio T.;SAT;
568;136;137;N;150;63;fracture or bedding;N;73;79;S;;F1;1;open;"1-3cm;";1;2;3;"3m; ";3;3;2.67;2.67;2.67;1.36;1.36;1.36;Limestone;bedding?;San Antonio T.;SAT;
569;136;137;N;150;63;fracture or bedding;N;109;19;S;;F6;4;open; 1-3mm;0.1;0.2;0.3;1m;1;1;0.89;0.89;0.89;0.45;0.45;0.45;Limestone;;San Antonio T.;SAT;
570;137;138;N;150;63;fracture or bedding;N;136;76;NW;;F2;3;aragonite;1-3cm;1;2;3;3m;3;3;2.67;2.67;2.67;1.36;1.36;1.36;Limestone;Aregonite?;San Antonio T.;SAT;
571;138;139;N;150;63;fracture or bedding;N;184;65;N;;F5;4;aragonite;1mm-3cm;0.1;1.55;3;2m;2;2;1.78;1.78;1.78;0.91;0.91;0.91;Limestone;Aregonite?;San Antonio T.;SAT;
572;139;140;N;150;63;fracture or bedding;N;82;74;S;;F7;10;aragonite;1mm-3cm;0.1;1.55;3;2m;2;2;1.78;1.78;1.78;0.91;0.91;0.91;Limestone;Aregonite?;San Antonio T.;SAT;
573;139;140;N;150;63;fracture or bedding;N;108;77;S;;F4;1;aragonite;1mm-3cm;0.1;1.55;3;2m;2;2;1.78;1.78;1.78;0.91;0.91;0.91;Limestone;Aregonite?;San Antonio T.;SAT;
574;140;141;N;150;60;fracture or bedding;N;255;74;N;;F1;10;aragonite;1-3mm;0.1;0.2;0.3;2m;2;2;1.73;1.73;1.73;1;1;1;Limestone;Aregonite?;San Antonio T.;SAT;
575;140;141;N;150;60;fracture or bedding;N;229;64;NW;;F1;1;aragonite;1-3mm;0.1;0.2;0.3;2m;2;2;1.73;1.73;1.73;1;1;1;Limestone;Aregonite?;San Antonio T.;SAT;
576;141;142;N;150;60;fracture or bedding;N;117;69;NW;;F2;4;aragonite;1mm-3cm;0.1;1.55;3;2m;2;2;1.73;1.73;1.73;1;1;1;Limestone;;San Antonio T.;SAT;
577;142;143;N;150;60;shear fracture;N;127;78;NW;;F2;1;aragonite;"1-3mm; ";0.1;0.2;0.3;"1-1.5m; ";1;1.5;0.87;1.08;1.3;0.5;0.63;0.75;Limestone;close to fault (thrust);San Antonio T.;SAT;
578;142;143;N;150;60;shear fracture;N;160;46;N;;F5;14;aragonite;1-3mm;0.1;0.2;0.3;1-2m;1;2;0.87;1.3;1.73;0.5;0.75;1;Limestone;close to fault (thrust);San Antonio T.;SAT;
579;143;144;N;144;60;shear fracture;N;91;89;S;;F4;2;"open;";"3-5cm; ";1;3;5;"2m; ";2;2;1.73;1.73;1.73;1;1;1;Limestone;fault zone;San Antonio T.;SAT;
580;143;144;N;144;60;shear fracture;N;214;7;NW;;F3;2; calcite filled;1-3mm;0.1;0.2;0.3;1m;1;1;0.87;0.87;0.87;0.5;0.5;0.5;Limestone;;San Antonio T.;SAT;
581;144;145;N;144;60;shear fracture;N;208;50;NW;;F3;5;open;1-3 cm;1;2;3;1m;1;1;0.87;0.87;0.87;0.5;0.5;0.5;Limestone;under the fault;San Antonio T.;SAT;
582;145;146;N;144;60;shear fracture;N;20;77;S;;F3;3;open;"1-3cm;";1;2;3;2m;2;2;1.73;1.73;1.73;1;1;1;Limestone;brownish;San Antonio T.;SAT;
583;145;146;N;144;60;shear fracture;N;141;65;SW;;F2;1;open; 1mm-3cm;0.1;1.55;3;"; 2m";2;2;1.73;1.73;1.73;1;1;1;Limestone;;San Antonio T.;SAT;
584;146;147;N;167;60;fracture;N;232;62;NW;;F1;7;calcite filled;1-5mm;0.1;0.3;0.5;2m;2;2;1.73;1.73;1.73;1;1;1;Limestone;brownish;San Antonio T.;SAT;
585;147;148;N;167;60;fracture;N;54;86;SE;;F1;5;calcite filled;1-3mm;0.1;0.2;0.3;2m;2;2;1.73;1.73;1.73;1;1;1;Limestone;under fault;San Antonio T.;SAT;
586;147;148;N;167;60;fracture;N;115;3;NW;;F6;5;calcite filled;1-3mm;0.1;0.2;0.3;2m;2;2;1.73;1.73;1.73;1;1;1;Limestone;under fault;San Antonio T.;SAT;
587;148;149;N;167;60;fracture;N;151;63;N;;F5;21;calcite filled;1-3mm;0.1;0.2;0.3;1-2m;1;2;0.87;1.3;1.73;0.5;0.75;1;Limestone;Breccia;San Antonio T.;SAT;
588;149;150;N;163;60;fracture;N;120;60;NW;;F2;12;calcite filled;1-2cm;1;1.5;2;<1m;0.5;1;0.43;0.65;0.87;0.25;0.38;0.5;Limestone;Breccia;San Antonio T.;SAT;
589;150;151;N;163;70;fracture;N;120;60;NW;;F2;25;calcite filled;1mm-3cm;0.1;1.55;3;4m;4;4;3.76;3.76;3.76;1.37;1.37;1.37;Limestone;Breccia;San Antonio T.;SAT;
590;151;152;N;140;70;fracture;N;73;86;S;;F1;5;calcite filled;1-3mm;0.1;0.2;0.3;2-3m;2;3;1.88;2.35;2.82;0.68;0.86;1.03;Limestone;Breccia;San Antonio T.;SAT;
591;152;153;N;140;70;shear fracture;N;190;67;W;;F3;2;calcite filled;1-3cm;1;2;3;1-2m;1;2;0.94;1.41;1.88;0.34;0.51;0.68;Limestone;cemented breccia;San Antonio T.;SAT;
592;152;153;N;140;70;shear fracture;N;230;54;NW;;F1;5;calcite filled;1-3cm;1;2;3;1-2m;1;2;0.94;1.41;1.88;0.34;0.51;0.68;Limestone;cemented breccia;San Antonio T.;SAT;
593;153;154;N;125;70;fractures or bedding;N;192;50;W;;F3;4;calcite filled;1-3cm;1;2;3;1m;1;1;0.94;0.94;0.94;0.34;0.34;0.34;Limestone;cemented breccia;San Antonio T.;SAT;
594;153;154;N;125;70;fractures or bedding;N;10;60;E;;F3;2;calcite filled;1-3cm;1;2;3;1m;1;1;0.94;0.94;0.94;0.34;0.34;0.34;Limestone;cemented breccia;San Antonio T.;SAT;
595;154;155;N;125;70;fractures or bedding;N;186;45;W;;F5;7;calcite filled;1-3mm;0.1;0.2;0.3;1m;1;1;0.94;0.94;0.94;0.34;0.34;0.34;Limestone;cemented breccia;San Antonio T.;SAT;
596;155;156;N;125;70;fault;N;321;87;NE;;F2;0;;1-3cm;1;2;3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;cemented breccia;San Antonio T.;SAT;
597;155;156;N;125;70;open fracture;N;53;33;SE;;F1;0;;1-3cm;1;2;3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;cemented breccia;San Antonio T.;SAT;
598;156;157;N;125;70;fracture open;N;51;72;SE;;F1;2;open;1-3mm;0.1;0.2;0.3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;Breccia;San Antonio T.;SAT;
599;157;158;N;170;70;fracture;N;216;55;NW;;F3;2;calcite;1-3mm;0.1;0.2;0.3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;brownish breccia;San Antonio T.;SAT;
600;157;158;N;170;70;fracture;N;48;63;SW;;F1;1;calcite;1-3mm;0.1;0.2;0.3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;brownish breccia;San Antonio T.;SAT;
601;158;159;N;170;70;fracture;N;208;88;NW;;F3;7;calcite;1-3mm;0.1;0.2;0.3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;brownish breccia;San Antonio T.;SAT;
602;159;160;N;107;70;fracture;N;190;59;W;;F3;7;calcite;1-3mm;0.1;0.2;0.3;3m;3;3;2.82;2.82;2.82;1.03;1.03;1.03;Limestone;Breccia;San Antonio T.;SAT;
603;160;161;N;112;70;fracture;N;25;34;SW;;F3;15;calcite;1-3mm;0.1;0.2;0.3;1-2m;1;2;0.94;1.41;1.88;0.34;0.51;0.68;Limestone;Breccia;San Antonio T.;SAT;
604;160;161;N;112;70;fault;N;180;64;W;;F5;1;calcite;1-3mm;0.1;0.2;0.3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;Breccia;San Antonio T.;SAT;
605;161;162;N;112;70;fault;N;347;46;E;;F5;1;calcite;"1-3cm;";1;2;3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;fault core;San Antonio T.;SAT;
606;161;162;N;112;70;fracture;N;39;35;SW;;F3;15;calcite;" 1-3cm; ";1;2;3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;fault core;San Antonio T.;SAT;
607;161;162;N;112;70;fracture;N;332;73;NE;;F5;15;calcite;1-3cm;1;2;3;2m;2;2;1.88;1.88;1.88;0.68;0.68;0.68;Limestone;fault core;San Antonio T.;SAT;
608;0;0;N;0;0;Before  WNW;N;130;25;SW;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;Before scanline WNW side
609;0;0;N;0;0;Before  WNW;N;145;85;S;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;Before scanline WNW side
610;0;0;N;0;0;Before  WNW;N;145;40;W;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;Before scanline WNW side
611;0;0;N;0;0;Before  WNW;N;110;60;E;;F4;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;Before scanline WNW side
612;0;0;N;0;0;Before  WNW;N;125;60;E;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;Before scanline WNW side
613;0;0;N;0;0;Before  WNW;N;140;50;W;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;Before scanline WNW side
614;0;0;N;0;0;Before  WNW;N;50;60;S;;F1;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;Before scanline WNW side
615;0;0;N;0;0;After WNW;N;175;30;W;;F5;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
616;0;0;N;0;0;After WNW;N;70;30;E;;F1;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
617;0;0;N;0;0;After WNW;N;145;65;E;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
618;0;0;N;0;0;After WNW;N;45;25;SE;;F1;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
619;0;0;N;0;0;After WNW;N;65;85;NW;;F1;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
620;0;0;N;0;0;After WNW;N;175;30;W;;F5;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
621;0;0;N;0;0;After WNW;N;45;85;SE;;F1;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
622;0;0;N;0;0;After WNW;N;50;85;N;;F1;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
623;0;0;N;0;0;After WNW;N;135;75;E;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline WNW side
624;0;0;N;0;0;After SES;N;50;85;N;;F1;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
625;0;0;N;0;0;After SES;N;170;40;W;;F5;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
626;0;0;N;0;0;After SES;N;170;40;W;;F5;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
627;0;0;N;0;0;After SES;N;170;70;E;;F5;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
628;0;0;N;0;0;After SES;N;80;75;S;;F7;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
629;0;0;N;0;0;After SES;N;65;89;N;;F1;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
630;0;0;N;0;0;After SES;N;90;75;N;;F4;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
631;0;0;N;0;0;After SES;N;135;40;E;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
632;0;0;N;0;0;After SES;N;140;50;E;;F2;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
633;0;0;N;0;0;After SES;N;150;45;E;;F5;1;;;0;0;0;;;;0;0;;0;0;;Limestone;Bat interpretation;San Antonio T.;nan;After scanline SES side
